epoch,train_loss,eval_loss_mean,auc_roc,auc_pr,eer,eer_th,fpr_at_target_fnr,threshold_at_target_fnr,lr
0,0.32211384177207947,0.24372971057891846,0.6555466156646235,0.6955278990887496,0.3933976370836551,0.24675967186170805,0.7213467637247974,0.17541174421972613,7.499999999999998e-05
1,0.20506924390792847,0.15204079449176788,0.6597993303456012,0.7012459859457233,0.39106429827300065,0.1573093191189319,0.7136401728642555,0.08322240768966659,0.00010000000000000003
2,0.12884792685508728,0.09566899389028549,0.6664638112040332,0.7101717452764749,0.3848365841234369,0.10349364700931446,0.7199007509407299,0.02932425551646233,0.000125
3,0.08701097220182419,0.07530909776687622,0.6753576087574371,0.7207634400137939,0.37823093481440095,0.08223679253312925,0.7159406477479994,0.01662621751283503,0.00015
4,0.06322391331195831,0.06405453383922577,0.6808443000053743,0.7295405358886553,0.3686018042295874,0.0644547895546187,0.7164336066516588,0.01703887441206586,0.00017500000000000003
5,0.03978760913014412,0.058551594614982605,0.6741578857977808,0.7266085754197875,0.36989992934255717,0.05748686633853979,0.7170415892995053,0.022561742604159957,0.0002
6,0.02578580752015114,0.07125978171825409,0.638072763074093,0.7015758887009005,0.4158108352367024,0.09350026249834736,0.7346730860870565,0.02059372521801086,0.00017499999999999997
7,0.019791798666119576,0.08115726709365845,0.6163658471462491,0.6767637063371116,0.4328836452667729,0.1068970190637347,0.7304007755886751,0.019403115420787712,0.00015000000000000007
8,0.01606898196041584,0.09296809881925583,0.600672960220929,0.6547752186842289,0.4501865027852178,0.11374078697500783,0.7282810523029397,0.017850982489658766,0.000125
9,0.013508259318768978,0.08967334032058716,0.5993887461982302,0.6500045661289144,0.4511888525559919,0.10424529122723329,0.7263749445421234,0.015599565477601619,9.999999999999996e-05
10,0.011750712990760803,0.0909949243068695,0.5945199916565916,0.6412274949819976,0.45381796670884206,0.10181135076777091,0.7261941929441149,0.014280493807584145,7.500000000000005e-05
11,0.010558567941188812,0.09695415943861008,0.5920626420383652,0.6354086005591522,0.45357148725701235,0.10372366099221841,0.7258491217115534,0.01437347033046669,5e-05
12,0.00978805124759674,0.0955071821808815,0.5912560623380875,0.6336296964157906,0.45334143976863794,0.100205055728716,0.7219711783360994,0.013838446595952274,6.249999999999996e-05
13,0.009174457751214504,0.09523565322160721,0.5903305274819819,0.6298383685449934,0.4536207831473783,0.09791332024515725,0.7235650787912647,0.013045690302559356,7.500000000000005e-05
14,0.008509458974003792,0.09168612957000732,0.5886457858739367,0.6283570473388345,0.4524869776689617,0.09351336538297796,0.7177645956915392,0.01364080102400087,8.750000000000001e-05
15,0.007840069010853767,0.1091957613825798,0.5858688943405717,0.6219143071218647,0.45383439867229736,0.1036026002990564,0.7243373810736645,0.014287203747347266,9.999999999999996e-05
16,0.007197541184723377,0.10106891393661499,0.5873834759610136,0.6220466831031065,0.44964424799119246,0.09438810981315669,0.7214946513958953,0.013452827655278601,0.00011250000000000005
17,0.006603981833904982,0.09405435621738434,0.5887594505105095,0.6213090893574432,0.4469494059845211,0.0855980761638844,0.7222833856417503,0.01256172901771726,0.000125
18,0.006057330407202244,0.09558627009391785,0.5884097982185823,0.6197044875403093,0.4457827365791939,0.0837042198576124,0.7240416057314688,0.012635045231186467,0.00011250000000000005
