epoch,train_loss,eval_loss_mean,auc_roc,auc_pr,eer,eer_th,fpr_at_target_fnr,threshold_at_target_fnr,lr
0,0.3360768258571625,0.20211677253246307,0.6674679902936546,0.698757955170818,0.3856581822962026,0.19745120531425608,0.6722644888837768,0.15637015195520865,7.499999999999998e-05
1,0.17173613607883453,0.10432692617177963,0.6626713960802637,0.6994369114129503,0.3966675978112625,0.09802867473031064,0.6751400824884566,0.0592297859764586,0.00010000000000000003
2,0.08791330456733704,0.05410180613398552,0.6641386128479628,0.7053965879974904,0.39029199599060094,0.050876662285359704,0.6657081354651068,0.013436554142796708,0.000125
3,0.053836215287446976,0.04202046990394592,0.6701299222761423,0.7132513471297114,0.3812051201998127,0.039541126190359904,0.6703583811229604,0.007290786092602823,0.00015
4,0.039745401591062546,0.033384326845407486,0.6783676699169978,0.7208310161630129,0.3745830389273214,0.027606947651143722,0.6710485235880835,0.005294217218780418,0.00017500000000000003
5,0.027721498161554337,0.024311084300279617,0.6799552899996892,0.7222113442586173,0.35987643163481603,0.015143581650161896,0.7199664787945511,0.0029329956740272753,0.0002
6,0.020397119224071503,0.01948123797774315,0.6818186313964691,0.7232365857729297,0.35269566360484417,0.01043945167744766,0.7118326568841711,0.002294900136851543,0.00017499999999999997
7,0.01615208201110363,0.016760962083935738,0.6834849655252819,0.7251854161637932,0.3512332188573213,0.008580719331765503,0.7097622294888016,0.0019925763011762088,0.00015000000000000007
8,0.01331793237477541,0.015036948956549168,0.6853275048609346,0.7275124321550963,0.34988579785398555,0.007681203445104224,0.7114875856516095,0.0018480582301649737,0.000125
9,0.011361696757376194,0.013721944764256477,0.686744854760682,0.7296782872536485,0.3494257028772368,0.00688836822878314,0.7115861774323414,0.0016446340866941547,9.999999999999996e-05
10,0.01002147700637579,0.01281233411282301,0.6866191649266113,0.7304755919288262,0.3500336855250834,0.006353232591066613,0.7124406395320176,0.0015313660762720101,7.500000000000005e-05
11,0.009127965196967125,0.012183007784187794,0.6876579111611862,0.732077110974117,0.35011584534235995,0.005977308060932308,0.712933598435677,0.0014603151665742052,5e-05
